tconst,type,titleType,title,originalTitle,date_added,release_year,runtimeMinutes,averageRating,numVotes,ageCertification,isAdult,country,popularityScore,month_added,season,genre
tt0034498,Movie,short,The Battle of Midway,The Battle of Midway,2017-03-31,1942,18,6.1,2404,TV-14,0,United States,6.202112528345601,3,Spring,Classic
tt0034498,Movie,short,The Battle of Midway,The Battle of Midway,2017-03-31,1942,18,6.1,2404,TV-14,0,United States,6.202112528345601,3,Spring,Documentary
tt0034498,Movie,short,The Battle of Midway,The Battle of Midway,2017-03-31,1942,18,6.1,2404,TV-14,0,United States,6.202112528345601,3,Spring,Short
tt0034498,Movie,short,The Battle of Midway,The Battle of Midway,2017-03-31,1942,18,6.1,2404,TV-14,0,United States,6.202112528345601,3,Spring,War
tt0035423,Movie,movie,Kate & Leopold,Kate & Leopold,2020-01-01,2001,118,6.4,92311,PG-13,0,United States,6.395940138924823,1,Spring,Comedy
tt0035423,Movie,movie,Kate & Leopold,Kate & Leopold,2020-01-01,2001,118,6.4,92311,PG-13,0,United States,6.395940138924823,1,Spring,Romance
tt0035423,Movie,movie,Kate & Leopold,Kate & Leopold,2020-01-01,2001,118,6.4,92311,PG-13,0,United States,6.395940138924823,1,Spring,Comedy
tt0035423,Movie,movie,Kate & Leopold,Kate & Leopold,2020-01-01,2001,118,6.4,92311,PG-13,0,United States,6.395940138924823,1,Spring,Fantasy
tt0035423,Movie,movie,Kate & Leopold,Kate & Leopold,2020-01-01,2001,118,6.4,92311,PG-13,0,United States,6.395940138924823,1,Spring,Romance
tt0037404,Movie,movie,Tunisian Victory,Tunisian Victory,2017-03-31,1944,75,6.6,741,TV-14,0,"United States, United Kingdom",6.339213044620337,3,Spring,Classic
tt0037404,Movie,movie,Tunisian Victory,Tunisian Victory,2017-03-31,1944,75,6.6,741,TV-14,0,"United States, United Kingdom",6.339213044620337,3,Spring,Documentary
tt0037404,Movie,movie,Tunisian Victory,Tunisian Victory,2017-03-31,1944,75,6.6,741,TV-14,0,"United States, United Kingdom",6.339213044620337,3,Spring,War
tt0038171,Movie,short,Thunderbolt,Thunderbolt,2017-03-31,1947,44,6.6,784,TV-PG,0,United States,6.342027763265246,3,Spring,Classic
tt0038171,Movie,short,Thunderbolt,Thunderbolt,2017-03-31,1947,44,6.6,784,TV-PG,0,United States,6.342027763265246,3,Spring,Documentary
tt0038171,Movie,short,Thunderbolt,Thunderbolt,2017-03-31,1947,44,6.6,784,TV-PG,0,United States,6.342027763265246,3,Spring,History
tt0038171,Movie,short,Thunderbolt,Thunderbolt,2017-03-31,1947,44,6.6,784,TV-PG,0,United States,6.342027763265246,3,Spring,Short
tt0044429,Movie,movie,The Blazing Sun,Siraa Fil-Wadi,2020-06-18,1954,105,7.2,1674,TV-14,0,Egypt,6.595206936571348,6,Summer,Classic
tt0044429,Movie,movie,The Blazing Sun,Siraa Fil-Wadi,2020-06-18,1954,105,7.2,1674,TV-14,0,Egypt,6.595206936571348,6,Summer,Drama
tt0044429,Movie,movie,The Blazing Sun,Siraa Fil-Wadi,2020-06-18,1954,105,7.2,1674,TV-14,0,Egypt,6.595206936571348,6,Summer,International
tt0044429,Movie,movie,The Blazing Sun,Siraa Fil-Wadi,2020-06-18,1954,105,7.2,1674,TV-14,0,Egypt,6.595206936571348,6,Summer,Crime
tt0044429,Movie,movie,The Blazing Sun,Siraa Fil-Wadi,2020-06-18,1954,105,7.2,1674,TV-14,0,Egypt,6.595206936571348,6,Summer,Drama
tt0044429,Movie,movie,The Blazing Sun,Siraa Fil-Wadi,2020-06-18,1954,105,7.2,1674,TV-14,0,Egypt,6.595206936571348,6,Summer,Romance
tt0046292,Movie,movie,The Sign of Venus,Il segno di Venere,2020-11-13,1955,97,6.5,1706,TV-14,0,Italy,6.355735550111852,11,Winter,Classic
tt0046292,Movie,movie,The Sign of Venus,Il segno di Venere,2020-11-13,1955,97,6.5,1706,TV-14,0,Italy,6.355735550111852,11,Winter,Comedy
tt0046292,Movie,movie,The Sign of Venus,Il segno di Venere,2020-11-13,1955,97,6.5,1706,TV-14,0,Italy,6.355735550111852,11,Winter,Independent
tt0046292,Movie,movie,The Sign of Venus,Il segno di Venere,2020-11-13,1955,97,6.5,1706,TV-14,0,Italy,6.355735550111852,11,Winter,Comedy
tt0046292,Movie,movie,The Sign of Venus,Il segno di Venere,2020-11-13,1955,97,6.5,1706,TV-14,0,Italy,6.355735550111852,11,Winter,Drama
tt0046292,Movie,movie,The Sign of Venus,Il segno di Venere,2020-11-13,1955,97,6.5,1706,TV-14,0,Italy,6.355735550111852,11,Winter,Romance
tt0047673,Movie,movie,White Christmas,White Christmas,2020-11-15,1954,120,7.5,55342,TV-G,0,United States,7.433248584073807,11,Winter,Children
tt0047673,Movie,movie,White Christmas,White Christmas,2020-11-15,1954,120,7.5,55342,TV-G,0,United States,7.433248584073807,11,Winter,Family
tt0047673,Movie,movie,White Christmas,White Christmas,2020-11-15,1954,120,7.5,55342,TV-G,0,United States,7.433248584073807,11,Winter,Classic
tt0047673,Movie,movie,White Christmas,White Christmas,2020-11-15,1954,120,7.5,55342,TV-G,0,United States,7.433248584073807,11,Winter,Comedy
tt0047673,Movie,movie,White Christmas,White Christmas,2020-11-15,1954,120,7.5,55342,TV-G,0,United States,7.433248584073807,11,Winter,Musical
tt0047673,Movie,movie,White Christmas,White Christmas,2020-11-15,1954,120,7.5,55342,TV-G,0,United States,7.433248584073807,11,Winter,Romance
tt0048545,Movie,movie,Rebel Without a Cause,Rebel Without a Cause,2019-11-01,1955,111,7.6,101454,PG-13,0,United States,7.559602486372701,11,Winter,Classic
tt0048545,Movie,movie,Rebel Without a Cause,Rebel Without a Cause,2019-11-01,1955,111,7.6,101454,PG-13,0,United States,7.559602486372701,11,Winter,Drama
tt0049223,Movie,movie,Forbidden Planet,Forbidden Planet,2019-11-01,1956,98,7.5,55916,G,0,United States,7.433896721849393,11,Winter,Action
tt0049223,Movie,movie,Forbidden Planet,Forbidden Planet,2019-11-01,1956,98,7.5,55916,G,0,United States,7.433896721849393,11,Winter,Adventure
tt0049223,Movie,movie,Forbidden Planet,Forbidden Planet,2019-11-01,1956,98,7.5,55916,G,0,United States,7.433896721849393,11,Winter,Classic
tt0049223,Movie,movie,Forbidden Planet,Forbidden Planet,2019-11-01,1956,98,7.5,55916,G,0,United States,7.433896721849393,11,Winter,Sci-Fi
tt0049223,Movie,movie,Forbidden Planet,Forbidden Planet,2019-11-01,1956,98,7.5,55916,G,0,United States,7.433896721849393,11,Winter,Fantasy
tt0049761,Movie,movie,Dark Waters,Siraa Fil-Mina,2020-06-18,1956,120,6.7,858,TV-14,0,Egypt,6.367875458070169,6,Summer,Classic
tt0049761,Movie,movie,Dark Waters,Siraa Fil-Mina,2020-06-18,1956,120,6.7,858,TV-14,0,Egypt,6.367875458070169,6,Summer,Drama
tt0049761,Movie,movie,Dark Waters,Siraa Fil-Mina,2020-06-18,1956,120,6.7,858,TV-14,0,Egypt,6.367875458070169,6,Summer,International
tt0049761,Movie,movie,Dark Waters,Siraa Fil-Mina,2020-06-18,1956,120,6.7,858,TV-14,0,Egypt,6.367875458070169,6,Summer,Drama
tt0049761,Movie,movie,Dark Waters,Siraa Fil-Mina,2020-06-18,1956,120,6.7,858,TV-14,0,Egypt,6.367875458070169,6,Summer,Romance
tt0049761,Movie,movie,Dark Waters,Siraa Fil-Mina,2020-06-18,1956,120,6.7,858,TV-14,0,Egypt,6.367875458070169,6,Summer,Thriller
tt0050817,Movie,movie,Scandal in Sorrento,"Pane, amore e.....",2020-11-13,1955,92,6.5,2655,TV-PG,0,"Italy, France",6.379118464363577,11,Winter,Classic
tt0050817,Movie,movie,Scandal in Sorrento,"Pane, amore e.....",2020-11-13,1955,92,6.5,2655,TV-PG,0,"Italy, France",6.379118464363577,11,Winter,Comedy
tt0050817,Movie,movie,Scandal in Sorrento,"Pane, amore e.....",2020-11-13,1955,92,6.5,2655,TV-PG,0,"Italy, France",6.379118464363577,11,Winter,Independent
tt0050817,Movie,movie,Scandal in Sorrento,"Pane, amore e.....",2020-11-13,1955,92,6.5,2655,TV-PG,0,"Italy, France",6.379118464363577,11,Winter,Comedy
tt0050817,Movie,movie,Scandal in Sorrento,"Pane, amore e.....",2020-11-13,1955,92,6.5,2655,TV-PG,0,"Italy, France",6.379118464363577,11,Winter,Romance
tt0051390,Movie,movie,Cairo Station,Bab el-Hadid,2020-06-18,1958,77,7.5,5787,TV-14,0,Egypt,7.065176211065845,6,Summer,Classic
tt0051390,Movie,movie,Cairo Station,Bab el-Hadid,2020-06-18,1958,77,7.5,5787,TV-14,0,Egypt,7.065176211065845,6,Summer,Drama
tt0051390,Movie,movie,Cairo Station,Bab el-Hadid,2020-06-18,1958,77,7.5,5787,TV-14,0,Egypt,7.065176211065845,6,Summer,International
tt0051390,Movie,movie,Cairo Station,Bab el-Hadid,2020-06-18,1958,77,7.5,5787,TV-14,0,Egypt,7.065176211065845,6,Summer,Crime
tt0051390,Movie,movie,Cairo Station,Bab el-Hadid,2020-06-18,1958,77,7.5,5787,TV-14,0,Egypt,7.065176211065845,6,Summer,Drama
tt0051459,Movie,movie,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,2019-11-01,1958,108,7.9,55731,NR,0,United States,7.811968889189878,11,Winter,Classic
tt0051459,Movie,movie,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,2019-11-01,1958,108,7.9,55731,NR,0,United States,7.811968889189878,11,Winter,Drama
tt0051658,Movie,movie,Gigi,Gigi,2019-11-01,1958,115,6.6,25582,G,0,United States,6.5642915227867675,11,Winter,Classic
